  100    5 Simulation No.     1
 -0.5560  0.0332 -0.7260  1.2509  0.4078
  1.1411 -0.2826  3.1958 -0.2956  0.1921
  1.1888  0.7676  1.6635  1.3997 -0.1561
  0.4394  0.5162 -0.0810  0.3660  0.0782
  2.7341  0.9412  1.4656  1.3433  2.2041
  1.8849  2.2482  1.4407  1.9405  2.6937
  1.9941  2.3410  1.6251  2.6114  1.0686
  1.7252  1.9681  3.3449  0.3149  1.4412
  1.3633  2.6024  4.0679  0.9833  3.2849
  2.9922  3.2097  5.2346  2.3312  3.6959
  2.5582  1.5752 -0.3716  1.2795 -0.9056
  0.8685  0.7100  0.1124  0.5495  0.7478
 -0.3111  0.7142  0.8824  0.7038  2.9418
  1.8051  0.6111  1.9429  1.9573  2.0871
  3.5094  1.4496  1.4631  1.9212  2.0671
  1.7467  2.7623  3.3522  2.5124  1.1174
  2.8891  3.1534  2.4362  3.9177  2.8582
  3.7401  1.1195  2.0797  3.5618  2.7859
  3.4411  2.1599  3.1943  4.2505  4.2256
  4.1910  2.5097  1.6741  2.4295  0.7780
  0.1468  1.2100 -0.6885  0.8437  0.3185
  1.5825  1.6793  1.3716  1.8900  0.2232
  0.1809  1.1271  0.9010  0.7450  1.8389
  3.1828  1.7185  1.9297  3.6158  2.1860
  1.0770  0.9185  1.5557  1.4932  3.5911
  1.9999  0.1574  3.4271  2.2592  0.8759
  1.3205  2.5267  1.7341  3.3775  2.7368
  1.8031  1.9799  1.3837  3.7398  3.5255
  4.3958  2.4180  3.5593  3.4834  1.8544
  1.7878  2.5920  2.1647  2.3315  1.8913
  2.2808  1.2382  0.9646  1.0968  0.2051
  2.0417 -0.8754  1.5430  4.0409  1.2583
  2.9656  2.0806  0.1741  2.5560  1.6224
  1.7161  3.3517  1.7944  2.3030  3.8152
  2.1164  2.4753  2.8870  3.2774  2.2820
  3.7329  3.4413  2.7966  3.8974  2.0904
  2.9634  4.5958  2.9409  1.4442  2.6554
  2.4303  3.8105  4.4166  2.6500  4.3566
  3.6844  1.1892  3.1694  4.4353  2.9649
  2.9715  3.8972  4.0930  2.2748  2.1229
  2.1703  3.2048 -0.9018  2.5290  3.1122
  1.6567  1.9254  2.2326  2.1736  1.6199
  2.0529  2.5437 -0.1352  3.0879  4.0412
  3.3117  2.6663  2.4388  2.1049  1.8919
  2.9111  2.1299  0.3623  2.8297  2.4708
  2.5089  3.8126  2.5031  2.1508  3.9888
  1.9414  3.3437  3.2721  3.4836 -0.0901
  3.7530  3.6342  3.6427  3.0794  5.1848
  3.0836  2.5579  2.0239  4.2815  6.0054
  3.3830  4.0123  4.7465  4.7436  3.5793
  1.7595  2.7405  2.5692  1.1959  0.5957
  2.2743  0.2781  1.0161  0.8952  1.4190
  2.1246  1.6378  2.9679  1.6045  0.8628
  2.8300  3.8167  2.5945  3.4887  1.0153
  3.3340  2.6684  3.8804  2.7551  2.9979
  3.7898  1.5445  2.6746  4.3116  3.0392
  3.1704  2.5242  5.6514  3.3610  2.5759
  4.1452  3.3684  3.3815  3.6527  5.4550
  3.7623  4.4456  3.1669  3.1955  3.3362
  4.1199  3.9654  2.7031  4.5885  4.0426
  2.2514  0.7407  1.5150  0.9955  2.3139
  4.2064  1.7025  3.1218  2.4949  2.1642
  3.7373  1.5476  2.4051  1.2387  2.1326
  2.9033  3.4809  3.6056  3.0165  4.0862
  3.2045  3.9639  4.3450  2.0298  1.2989
  1.8887  3.4630  1.5488  2.1921  5.3014
  5.0454  3.3258  4.9524  4.5249  3.2911
  3.9936  4.5173  4.3824  5.1583  4.7914
  4.0714  3.8993  3.6104  4.0214  3.8701
  4.1514  2.7269  4.1343  4.8444  4.3868
  3.0826  1.7083  2.0577  2.0823  1.8287
  2.5839  2.3661  2.7360  2.9072  1.3278
  2.7122  1.9962  1.6554  2.8112  4.3234
  1.7080  2.4389  1.8246  3.2032  3.9201
  4.0272  2.9475  5.5596  3.5501  3.0730
  1.4617  2.4655  3.6397  3.6722  3.0679
  3.5698  3.7704  4.3005  4.8456  2.8590
  2.6929  3.8809  3.7912  6.5684  4.1119
  3.5570  5.7942  3.8092  4.4797  2.2150
  4.9585  4.5295  3.8510  3.7136  3.9984
  3.8596  5.4059  2.1035  2.3414  1.8805
  3.3055  2.4111  1.6196  1.0011  0.3583
  1.9580  4.8300  4.2930  4.1821  3.1333
  5.7306  3.6335  2.4001  3.7491  1.6190
  3.2497  4.9449  2.1057  4.8732  3.9256
  3.6483  2.6778  2.3625  4.4889  2.7756
  4.3944  3.9301  5.8222  4.0751  3.7934
  4.1595  3.8327  3.2904  4.6925  5.2723
  3.4401  3.7101  4.0898  3.4460  5.1213
  4.7034  4.5343  4.5863  4.5296  4.9797
  3.3255  2.5338  2.3898  1.9522  3.0331
  3.0173  3.5404  4.3078  0.8922  2.4908
  3.2834  2.9075  4.8898  2.6571  3.5673
  4.2811  4.2585  3.6257  2.8130  4.0512
  4.1660  5.1713  3.5809  3.6046  4.9513
  5.5941  4.0498  4.8661  2.7628  4.8452
  4.3671  5.4715  5.3706  3.1691  5.9662
  4.3229  4.8366  4.9771  3.5588  6.1542
  4.5656  4.4342  3.8228  5.3309  5.9485
  4.5657  5.1397  4.5794  6.2212  4.0752
