site,Rep1,Rep2,Rep3,detec,Hist,plantation,agri,BL,etc,pine,elev.sc,elev,ht.sc,ht,Cast,rich,BA.sc,BA,oakp,poly,fire,
A1,0,0,0,0,1,0,0,0.808598313,0.004585657,0.186816123,0.708382179,1550,-0.713542899,14,6,6,-1.155119366,9.202,0.625,8.595792955,1,Doi Langka
A2,0,0,0,0,1,0,0,1.000000093,0,0,0.438854694,1493,-1.051883871,13,8,8,0.039831702,20.704,0.555555556,1,1,Doi Langka
A3,0,0,0,0,1,0,0,1.000000093,0,0,0.713110731,1551,-1.398210531,11,2,2,-1.274614473,8.052,0.857142857,1,1,Doi Langka
B1,0,0,0,0,0,1,0.306390995,0.260251801,0,0.433357294,-0.412284733,1313,0.67924507,21,6,6,0.278821916,23.004,0.2,13.27793749,1,Huai Hin Lad Nai
B2,0,0,0,0,0,1,0.108881285,0.27710968,0.01314262,0.600866503,-0.956068255,1198,1.131918428,23,4,4,0.637307237,26.455,0,12.99129743,1,Huai Hin Lad Nai
C1,0,0,0,0,1,1,0.194314716,0,0,0.805685378,-0.539955647,1286,-0.236923442,17,6,6,-1.155119366,9.202,0,8.827822494,1,Wiang Hang
C2,1,0,0,1,1,1,0.027889132,0,0.021751364,0.950359597,-0.984439569,1192,3.950189999,36,6,6,0.637307237,26.455,0,3.358811667,1,Wiang Hang
C3,0,0,0,0,0,1,0.352805113,0,0.029051598,0.618143382,-0.393370523,1317,1.450502009,25,6,6,0.51781213,25.305,0,12.80210707,1,Wiang Hang
C4,0,1,0,1,0,1,0,0,0.014453919,0.985546175,0.296998123,1463,-0.080457459,17,4,4,-0.796634046,12.652,0.545454545,1.712245618,1,Wiang Hang
D1,0,0,0,0,0,1,0,0.341193769,0.028007699,0.630798625,-0.800026027,1231,0.068466062,18,4,4,-0.318653618,17.253,0,12.64458598,1,Muang Na
D2,0,0,0,0,1,1,0,0.000238787,0.043781746,0.955979559,-0.497398675,1295,0.036691432,18,6,6,-0.677138939,13.803,0.166666667,3.10413207,1,Muang Na
D3,0,0,0,0,0,1,0,0.000194004,0.023302379,0.976503711,-0.68654077,1255,-0.611410158,15,5,5,-0.438148725,16.103,0.214285714,2.147210669,1,Muang Na
D4,0,0,0,0,0,1,0,0.282019852,0.020154758,0.697825483,-0.790568922,1233,-1.110725779,13,4,4,-0.916129153,11.502,0.2,11.54325391,1,Muang Na
E1,0,1,1,1,1,1,0.029206875,0,0.005986673,0.964806545,0.992095321,1610,-0.905955939,13,4,4,-0.318653618,17.253,0.533333333,2.697743767,0,Doi Angkhang
E2,1,1,0,1,1,1,0.145963975,0,0.06229071,0.791745404,1.597350024,1738,-0.873676949,14,5,5,0.398317023,24.155,0.047619048,9.244230955,0,Doi Angkhang
E3,0,0,0,0,1,0,0.077904638,0,0.026920991,0.895174464,1.715563833,1763,-0.216328774,17,3,3,0.039831702,20.704,0,5.69185715,0,Doi Angkhang
E4,0,0,0,0,1,1,0.120556278,0,0.036282192,0.843161623,0.817138883,1573,0.144211646,18,4,4,1.832258305,37.957,0,7.612005022,0,Doi Angkhang
F1,0,1,1,1,1,0,0.003517391,0,0,0.996482702,0.481411665,1502,-1.004810345,13,6,6,0.039831702,20.704,0.277777778,1.175246342,1,Doi Lang
F2,1,1,1,1,1,0,0,0,0,1.000000093,0.869152959,1584,-1.181336069,12,3,3,-0.677138939,13.803,0.166666667,0.999995341,1,Doi Lang
F3,0,0,1,1,1,0,0.004298263,0,0.002454311,0.993247519,1.280537015,1671,-1.0625824,13,4,4,-0.796634046,12.652,0.181818182,1.335344253,1,Doi Lang
F4,1,0,0,1,1,0,0.002467463,0.07408417,0.047854064,0.875594394,1.171780311,1648,-1.146030924,12,5,5,-1.03562426,10.352,0,6.446442555,1,Doi Lang
F5,0,1,1,1,1,0,0,0,0.227795601,0.772204492,0.963724006,1604,-0.369317735,16,5,5,-1.274614473,8.052,0.285714286,9.795235728,1,Doi Lang
G1,0,0,0,0,1,1,0,0.259609971,0,0.740390118,0.051113399,1411,0.458748392,20,5,5,0.51781213,25.305,0.045454545,10.61062955,0,Pha Hom Pok
G2,0,0,0,0,1,1,7.94E-05,0.000312981,0.002999826,0.996607914,0.547611398,1516,0.672184041,21,3,3,0.756802344,27.605,0,1.169028982,0,Pha Hom Pok
G3,0,0,0,0,1,1,0,0.161138853,0,0.83886124,1.204880177,1655,0.628052609,21,3,3,0.756802344,27.605,0,7.758652995,0,Pha Hom Pok
G4,0,0,0,0,1,1,0,0.47021567,0.045590916,0.484193503,2.084390918,1841,-0.923336933,13,3,3,-0.557643832,14.953,0,13.48750773,0,Pha Hom Pok
H1,0,0,0,0,0,1,0,0.770491177,0.118701633,0.110807279,-1.258695607,1134,0.191411037,19,6,6,-0.079663405,19.554,0,5.926451287,0,Pang Aung
H2,0,0,0,0,0,1,0.288032532,0.427954406,0.020427674,0.263585481,-1.135753245,1160,0.996626149,22,6,6,1.354277878,33.356,0.103448276,10.70540876,0,Pang Aung
H3,0,0,0,0,0,1,0.175962859,0.353654779,0,0.470382454,-1.8450361,1010,0.062817239,18,4,4,0.87629745,28.755,0,13.45614005,0,Pang Aung
I1,0,0,0,0,0,1,0,0.878510983,0.009734553,0.111754554,-1.253967054,1135,-0.122181721,17,3,3,-1.39410958,6.901,0,5.963273665,1,Wat Chan
I2,0,0,0,0,0,1,0.021686127,0.178659655,0.014079361,0.78557495,-1.575508615,1067,-0.501712029,15,2,2,-1.155119366,9.202,0,9.422347388,1,Wat Chan
I3,0,0,0,0,0,1,0.073375515,0,0.0785255,0.848099074,-1.759922158,1028,0.105183413,18,4,4,3.744180015,56.361,0,7.441351742,1,Wat Chan
J1,0,0,0,0,1,1,0.362176244,0.102599007,0,0.535224842,-0.615612485,1270,1.854906397,27,4,4,1.473772985,34.507,0,13.43796053,1,Doi Inthanon
J2,0,0,0,0,1,1,0.240822946,0.31080267,0,0.448374477,-0.019814886,1396,1.104288315,23,4,4,0.637307237,26.455,0,13.36674027,1,Doi Inthanon
J3,0,0,0,0,1,1,0.103493594,0.460698916,0.000441706,0.435365878,1.044109397,1621,0.151433153,18,4,4,0.756802344,27.605,0,13.29112151,1,Doi Inthanon
K1,0,0,0,0,1,1,0.0369967,0.606457245,0,0.356546148,-0.308256581,1335,-0.825568839,14,7,7,-0.557643832,14.953,0.461538462,12.47104962,1,Khun Mae Ya
K2,0,0,0,0,1,1,0,0.850225097,0,0.149774996,-0.431198942,1309,0.526149123,20,5,5,0.51781213,25.305,0.090909091,7.367122325,1,Khun Mae Ya
K3,0,0,0,0,1,1,0,0.495802004,7.03E-05,0.504127782,-0.814211684,1228,-0.202879195,17,7,7,-0.438148725,16.103,0.428571429,13.49914807,1,Khun Mae Ya
K4,0,0,0,0,1,1,0,0.570247097,0,0.429752996,-0.922968388,1205,-0.298707445,16,7,7,0.039831702,20.704,0.166666667,13.25326792,1,Khun Mae Ya
L1,0,1,0,1,1,1,0.008160065,0.514938772,0.010862407,0.466038846,0.344283646,1473,0.75213981,21,2,2,-0.079663405,19.554,0,13.442332,1,Chiang Dao
L2,1,0,0,1,1,1,0,0.542014088,0,0.457986002,0.396297722,1484,-0.287844324,16,6,6,-0.557643832,14.953,0.307692308,13.4117412,1,Chiang Dao
L3,0,1,1,1,1,1,0,0.608240353,0,0.391759736,0.282812465,1460,0.160259439,19,5,5,-0.199158511,18.403,0.1875,12.91420226,1,Chiang Dao
