ID,SEX,SITE,Subsp,HABITAT,AREA,DENS,GR,FEM,MAL,IMM,%FE,%TR,%RE,%PLAY
amr,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,6,5,0.29,0.29,0.42,0.0256
amp,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,14,5,4,0.21,0.07,0.71,0.0172
azt,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,6,5,0.34,0.22,0.44,0.0120
cha,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,13,7,5,0.23,0.16,0.60,0.0129
nin,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,23,12,5,5,0.18,0.13,0.69,0.0045
rod,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,5,6,0.22,0.07,0.71,0.0043
roj,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,19,12,5,5,0.29,0.11,0.60,0.0042
rom,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,23,12,5,5,0.25,0.30,0.45,0.0129
rxa,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,13,4,5,0.21,0.25,0.53,0.0127
sal,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,13,5,5,0.24,0.17,0.60,0.0131
sep,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,23,13,7,5,0.21,0.07,0.71,0.0189
ven,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,23,12,7,5,0.43,0.10,0.48,0.0130
ver,h,AGA,mexicana,SEMIDEC,SMALLFR,9.5,21,12,5,5,0.39,0.10,0.47,0.0212
chu,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,20,12,5,5,0.29,0.09,0.63,0.0041
cri,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,8,5,0.28,0.12,0.59,0.0048
nio,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,25,12,7,7,0.70,0.06,0.24,0.0040
niy,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,20,12,6,5,0.27,0.04,0.69,0.0056
pic,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,6,6,0.36,0.03,0.61,0.0020
pin,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,23,12,6,5,0.16,0.09,0.75,0.0099
pir,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,22,12,6,5,0.03,0.02,0.95,0.0087
rbt,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,6,5,0.16,0.14,0.70,0.0084
sbs,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,23,12,6,5,0.29,0.03,0.68,0.0014
stg,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,6,6,0.40,0.22,0.38,0.0043
vci,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,7,6,0.34,0.11,0.55,0.0048
nfa,m,AGA,mexicana,SEMIDEC,SMALLFR,9.5,24,12,6,5,0.21,0.12,0.67,0.0044
Ch,m,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0031
Cp,m,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0015
Fd,f,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0043
Lc,f,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0079
Li,m,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0113
Ln,f,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0018
Rs,f,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0042
Sv,f,CH,palliata,DRY,SMALLFR,0.079,13,7,3,3,0.19,0.11,0.70,0.0029
Bl,f,CP,palliata,DRY,SMALLFR,0.079,13,7,2,4,0.29,0.10,0.61,0.0013
Cl,f,CP,palliata,DRY,SMALLFR,0.079,13,7,2,4,0.29,0.10,0.61,0.0050
Cr,f,CP,palliata,DRY,SMALLFR,0.079,13,7,2,4,0.29,0.10,0.61,0.0018
Do,f,CP,palliata,DRY,SMALLFR,0.079,13,7,2,4,0.29,0.10,0.61,0.0021
